Duivendrecht  (2039,1195)  (2003,1209)  (2062,1231)  (2075,1164)  (2026,1245)  (2079,1199)  (2122,1145)  (2107,1199)  | overflowToLeft=false
De Horn  (2791,1872)  (2755,1907)  (2755,1871)  (2826,1908)  (2791,1836)  (2827,1836)  (2827,1872)  (2753,1835)  (2790,1943)  (2754,1943)  (2719,1907)  (2719,1871)  (2862,1908)  (2863,1822)  (2863,1858)  (2717,1835)  (2717,1799)  (2683,1881)  (2898,1894)  (2899,1819)  (2899,1855)  (2681,1845)  (2681,1809)  (2681,1773)  (2717,1763)  (2655,1737)  (2647,1895)  (2934,1891)  (2935,1846)  (2645,1859)  (2645,1823)  (2691,1727)  (2945,1927)  (2962,1963)  (2970,1882)  (2981,1918)  (3006,1856)  (3017,1892)  (3042,1856)  (3078,1879)  | overflowToLeft=false
Marken  (3496,-7)  | overflowToLeft=false
Oosterparkbuurt  (1927,849)  (1891,850)  (1962,885)  (1929,813)  (1963,849)  (1926,886)  (1965,811)  (1999,847)  | overflowToLeft=false
Oostelijke Eilanden  (1987,643)  (2023,657)  (2059,680)  (2068,711)  (2033,712)  (1999,687)  | overflowToLeft=false
Broek in Waterland  (2715,78)  (2711,42)  | overflowToLeft=false
Lutkemeer  (900,450)  (864,485)  (864,449)  (935,486)  (900,414)  (936,414)  (936,450)  (862,413)  (899,521)  (863,521)  (828,485)  (971,486)  (971,522)  (935,522)  (827,522)  (898,378)  (934,378)  (970,378)  (972,414)  (972,450)  (851,377)  (1006,356)  (1007,486)  (1007,522)  (1007,558)  (971,558)  (935,558)  (852,558)  (816,558)  (887,342)  (923,342)  (1008,392)  (1008,428)  (780,574)  (1043,474)  (796,610)  | overflowToLeft=false
Kinselmeer  (2782,580)  (2746,609)  (2780,544)  (2818,545)  | overflowToLeft=false
Buikslotermeer  (2236,388)  (2200,413)  (2200,377)  (2271,424)  (2236,352)  (2272,352)  (2272,388)  (2200,341)  (2164,416)  (2164,380)  (2307,424)  (2307,460)  (2308,386)  (2343,449)  (2343,485)  | overflowToLeft=false
Haven noord noord  (1625,1)  | overflowToLeft=false
Landsmeer  (2098,11)  (2062,46)  (2062,10)  (2134,0)  (2065,82)  (2026,56)  (2026,20)  (2170,0)  (2206,0)  | overflowToLeft=false
Haarlem noord  (123,83)  (87,118)  (87,82)  (158,119)  (123,47)  (159,47)  (159,83)  (85,46)  (122,154)  (86,154)  (51,100)  (194,119)  (194,155)  (158,155)  (121,11)  (157,11)  (193,11)  (195,47)  (195,83)  (49,64)  (49,28)  (85,10)  (50,158)  (230,119)  (230,155)  (230,191)  (194,191)  (158,191)  (231,16)  (231,52)  (13,82)  (13,46)  (13,10)  (266,107)  (266,143)  (266,179)  (188,227)  (152,227)  (156,263)  | overflowToLeft=false
Ronde Hoep oost  (1689,1970)  (1653,2005)  (1653,1969)  (1724,2006)  (1689,1934)  (1725,1934)  (1725,1970)  (1651,1933)  (1688,2041)  (1652,2041)  (1617,2005)  (1743,2042)  (1616,2042)  (1687,1898)  (1723,1898)  (1759,1898)  (1761,1934)  (1761,1970)  (1795,1864)  (1696,2077)  (1660,2077)  (1624,2078)  (1588,2078)  (1580,2042)  (1667,1862)  (1703,1862)  (1739,1862)  (1797,1900)  (1797,1962)  (1552,2106)  (1775,1828)  (1681,2113)  (1645,2114)  (1609,2114)  (1653,1826)  (1689,1826)  (1725,1826)  (1516,2124)  (1761,1792)  (1650,1790)  (1686,1790)  (1722,1790)  (1480,2124)  (1758,1756)  (1639,1754)  (1675,1754)  (1711,1754)  (1444,2124)  (1794,1726)  (1747,1720)  (1609,1718)  (1645,1718)  (1681,1718)  | overflowToLeft=false
Naarder Wei  (3518,1804)  (3482,1839)  (3482,1803)  (3553,1840)  (3518,1768)  (3554,1768)  (3554,1804)  (3480,1767)  (3517,1875)  (3481,1875)  (3446,1839)  (3446,1803)  (3558,1876)  (3516,1732)  (3552,1732)  (3588,1732)  (3590,1768)  (3590,1804)  (3476,1731)  (3624,1698)  (3522,1911)  (3410,1824)  (3561,1912)  (3512,1696)  (3548,1696)  (3584,1696)  (3626,1809)  (3455,1695)  (3525,1947)  (3577,1948)  (3491,1660)  (3527,1660)  (3563,1660)  (3599,1660)  (3662,1810)  (3430,1659)  (3688,1846)  (3541,1983)  (3505,1983)  (3584,1984)  (3480,1624)  (3516,1624)  (3552,1624)  (3588,1624)  (3698,1807)  (3721,1882)  (3724,1843)  (3548,2019)  (3586,2020)  (3532,1588)  (3568,1588)  | overflowToLeft=false
Gaasperpark  (2546,1538)  (2510,1573)  (2510,1537)  (2581,1574)  (2546,1502)  (2582,1502)  (2582,1538)  (2545,1609)  (2474,1548)  (2612,1610)  (2575,1466)  (2611,1466)  (2618,1502)  (2618,1538)  (2451,1512)  (2509,1637)  (2576,1645)  (2438,1548)  (2415,1512)  (2402,1572)  (2379,1536)  (2343,1556)  (2318,1617)  (2307,1581)  (2307,1545)  | overflowToLeft=false
Scheepsbuurt  (2091,214)  (2108,250)  (2067,178)  (2131,221)  (2101,172)  (2054,212)  | overflowToLeft=false
Ransdorper Die  (2705,397)  | overflowToLeft=false
Natuurreservaat Naardermeer  (3193,1843)  (3157,1878)  (3157,1842)  (3228,1879)  (3193,1807)  (3229,1807)  (3229,1843)  (3155,1806)  (3192,1914)  (3156,1914)  (3121,1878)  (3121,1842)  (3264,1879)  (3264,1915)  (3228,1915)  (3120,1915)  (3191,1771)  (3227,1771)  (3263,1771)  (3265,1807)  (3265,1843)  (3119,1806)  (3119,1770)  (3155,1770)  (3192,1950)  (3156,1950)  (3300,1879)  (3300,1915)  (3300,1951)  (3264,1951)  (3228,1951)  (3120,1951)  (3084,1951)  (3191,1735)  (3227,1735)  (3301,1801)  (3301,1837)  (3083,1809)  (3083,1773)  (3083,1737)  (3119,1734)  (3155,1734)  (3050,1701)  (3192,1986)  (3156,1986)  (3336,1875)  (3336,1911)  (3336,1947)  (3336,1983)  (3300,1987)  (3264,1987)  (3228,1987)  (3120,1987)  (3084,1987)  (3048,1987)  | overflowToLeft=false
Muiden  (3025,1376)  (2989,1381)  (2989,1345)  (3060,1412)  (3025,1340)  (2953,1339)  (3080,1448)  | overflowToLeft=false
de Bongerd  (1906,223)  (1938,192)  (1971,215)  (1943,233)  (1918,256)  (1950,265)  | overflowToLeft=false
Elzenhagen  (2094,383)  (2096,355)  (2135,355)  (2126,316)  | overflowToLeft=false
Westwijk  (1063,1676)  (1027,1711)  (1027,1675)  (1098,1712)  (1063,1640)  (1099,1640)  (1099,1676)  (1025,1639)  (1062,1747)  (1026,1747)  (991,1711)  (991,1675)  (1061,1604)  (1135,1629)  (1135,1665)  (1079,1783)  (955,1709)  | overflowToLeft=false
Buitenveldert  (1522,1150)  (1486,1185)  (1486,1149)  (1557,1186)  (1522,1114)  (1558,1114)  (1558,1150)  (1484,1113)  (1450,1181)  (1593,1186)  (1540,1078)  (1576,1078)  (1594,1114)  (1594,1150)  (1448,1145)  (1448,1109)  (1437,1073)  (1629,1186)  (1630,1092)  (1630,1128)  | overflowToLeft=false
Bullewijk  (2026,1626)  (1990,1647)  (1990,1611)  (2061,1662)  (2026,1590)  (2062,1590)  (2062,1626)  (1974,1575)  (2025,1683)  (2097,1662)  (2097,1698)  (2061,1698)  (2010,1554)  (2098,1626)  (1962,1539)  (2133,1717)  (2097,1734)  (1948,1503)  (1984,1503)  (1972,1467)  | overflowToLeft=false
Bellamybuurt  (1543,695)  (1580,692)  (1611,670)  (1575,656)  (1604,630)  | overflowToLeft=false
Diemen noord  (2394,1039)  (2358,1012)  (2429,1075)  (2330,976)  (2464,1103)  (2429,1112)  (2398,1075)  | overflowToLeft=false
Betondorp-Middenmeer  (2162,1027)  (2126,1062)  (2126,1026)  (2179,1063)  (2162,991)  (2198,991)  (2198,1027)  (2141,1098)  (2105,1098)  (2090,1062)  (2193,955)  (2229,955)  (2234,991)  (2265,924)  (2054,1089)  (2054,1053)  (2190,919)  (2226,919)  | overflowToLeft=false
Keizer Karelpark  (1293,1556)  (1257,1591)  (1257,1555)  (1328,1592)  (1293,1520)  (1329,1520)  (1329,1556)  (1292,1627)  (1365,1493)  (1365,1529)  | overflowToLeft=false
Durgerdam  (2589,654)  (2553,684)  (2553,648)  (2589,618)  (2625,618)  (2625,654)  (2546,612)  (2638,690)  (2517,685)  (2517,649)  (2660,726)  (2661,619)  (2674,655)  (2481,711)  (2481,675)  (2481,639)  (2696,691)  (2696,727)  (2710,646)  (2445,638)  | overflowToLeft=false
Aalsmeer centrum  (482,1792)  (446,1827)  (446,1791)  (517,1828)  (482,1756)  (518,1756)  (518,1792)  (444,1755)  (481,1863)  (506,1720)  (554,1753)  (554,1789)  (408,1731)  (444,1719)  (397,1695)  (517,1899)  (481,1899)  (445,1901)  (433,1683)  (549,1935)  (513,1935)  (477,1937)  | overflowToLeft=false
Jordaan  (1715,580)  (1736,544)  (1704,616)  (1772,510)  | overflowToLeft=false
Buiksloot  (2023,279)  (2006,243)  (2059,274)  (2059,310)  (1988,279)  (2011,309)  | overflowToLeft=false
de Baarsjes  (1485,686)  (1469,722)  (1496,650)  (1532,639)  (1496,614)  (1532,603)  (1568,603)  (1436,789)  (1418,825)  | overflowToLeft=false
Nigtevecht  (2764,2093)  (2728,2124)  (2728,2088)  (2764,2057)  (2800,2057)  (2800,2093)  (2722,2052)  (2692,2124)  (2692,2088)  (2758,2021)  (2794,2021)  (2830,2021)  (2836,2057)  (2836,2093)  (2686,2052)  (2686,2016)  (2722,2016)  (2866,1991)  (2656,2124)  (2656,2088)  (2818,1985)  (2872,2027)  (2872,2063)  (2872,2099)  (2650,2052)  (2650,2016)  (2650,1980)  (2686,1980)  (2901,1955)  (2902,1991)  (2620,2124)  (2620,2088)  (2908,2063)  (2908,2099)  (2614,2052)  (2614,2016)  (2672,1944)  (2944,2105)  (2980,2116)  (3016,2122)  (3052,2123)  (3088,2121)  (3124,2111)  (3160,2112)  (3276,2103)  (3312,2110)  | overflowToLeft=false
Landsmeerder Wei  (2226,109)  (2190,144)  (2190,108)  (2261,145)  (2226,73)  (2262,73)  (2262,109)  (2188,72)  (2225,180)  (2189,180)  (2154,144)  (2154,108)  (2269,181)  (2252,37)  (2288,37)  (2298,73)  (2298,109)  (2152,72)  (2324,11)  (2118,144)  (2118,108)  (2334,47)  | overflowToLeft=false
Spieringhorn  (916,275)  (880,291)  (880,255)  (916,239)  (952,286)  (886,203)  (922,203)  (988,295)  (895,167)  (931,167)  (1024,300)  (1060,309)  (1096,315)  (1132,323)  (1168,330)  | overflowToLeft=false
Jeugdland  (2145,295)  (2159,266)  (2197,265)  (2194,300)  (2164,318)  | overflowToLeft=false
Zuiderwolde  (3038,138)  (3002,173)  (3002,137)  (3050,174)  (3038,102)  (3074,102)  (3074,138)  (3000,101)  (3014,209)  (2978,209)  (2966,173)  (3036,66)  (3072,66)  (3110,95)  (3110,131)  (2964,86)  (3000,65)  (2949,50)  (2942,233)  (3044,245)  (3008,245)  (2930,197)  (3036,30)  (3072,30)  (3146,104)  (3146,140)  (2928,105)  (2985,29)  (2913,69)  (2913,33)  (2949,14)  (2906,237)  (3080,275)  (3044,281)  (2894,201)  (3182,127)  (2892,127)  (3095,311)  | overflowToLeft=false
Petroleumhavens  (1499,154)  (1463,179)  (1534,190)  (1435,92)  (1570,197)  (1571,89)  (1579,125)  (1400,56)  (1399,119)  (1599,161)  (1364,21)  (1662,318)  (1698,318)  (1734,323)  (1578,241)  | overflowToLeft=false
Ijburgbaai west  (2405,913)  | overflowToLeft=false
Flevoland  (3727,977)  (3691,1012)  (3691,976)  (3762,1013)  (3727,941)  (3763,941)  (3763,977)  (3689,940)  (3726,1048)  (3690,1048)  (3655,1012)  (3655,976)  (3798,1013)  (3798,1049)  (3762,1049)  (3654,1049)  (3725,905)  (3761,905)  (3797,905)  (3799,941)  (3799,977)  (3653,940)  (3653,904)  (3689,904)  (3726,1084)  (3690,1084)  (3619,1013)  (3619,977)  (3804,1085)  (3768,1085)  (3654,1085)  (3725,869)  (3761,869)  (3797,869)  (3617,941)  (3617,905)  (3617,869)  (3653,868)  (3689,868)  (3732,1120)  (3696,1120)  (3660,1121)  (3624,1121)  (3725,833)  (3761,833)  (3797,833)  (3581,947)  (3581,911)  (3678,832)  (3651,1157)  (3780,797)  | overflowToLeft=false
Overtoomse Veld  (1312,688)  (1276,723)  (1276,687)  (1347,724)  (1312,652)  (1348,652)  (1348,688)  (1274,651)  (1311,759)  (1275,759)  (1240,723)  (1240,687)  (1383,724)  (1383,760)  (1347,760)  (1310,616)  (1346,616)  (1382,616)  (1384,652)  (1384,688)  (1418,614)  (1420,650)  (1420,686)  (1456,618)  | overflowToLeft=false
Kabel  (43,1480)  (7,1515)  (7,1479)  (78,1516)  (43,1444)  (79,1444)  (79,1480)  (5,1443)  (42,1551)  (6,1551)  (114,1516)  (88,1552)  (41,1408)  (77,1408)  (115,1434)  (115,1470)  (0,1407)  (40,1587)  (4,1587)  (45,1372)  (81,1372)  (151,1426)  (151,1462)  (151,1498)  (187,1404)  (187,1440)  (223,1380)  (223,1416)  | overflowToLeft=false
Vogelbuurt  (2020,513)  (1984,535)  (2056,515)  (2055,542)  (2027,542)  | overflowToLeft=false
Holysloot  (2860,410)  (2824,445)  (2824,409)  (2895,446)  (2860,374)  (2896,374)  (2896,410)  (2822,373)  (2859,481)  (2823,481)  (2788,445)  (2788,409)  (2787,482)  (2932,339)  (2932,375)  (2932,411)  (2786,373)  (2752,446)  (2968,329)  (2968,365)  (2968,401)  (2716,434)  (3004,345)  (3004,381)  | overflowToLeft=false
Amstel 3  (1858,848)  | overflowToLeft=false
Bovenkerk  (1141,1562)  (1105,1564)  (1157,1526)  (1177,1562)  | overflowToLeft=false
Amstel 2  (1851,773)  | overflowToLeft=false
Tuindorp Nieuwendam  (2198,461)  (2242,489)  (2168,455)  (2122,442)  (2270,519)  | overflowToLeft=false
Amstel 1  (1845,721)  | overflowToLeft=false
Amstel 7  (1449,1786)  | overflowToLeft=false
Fredrik Hendrikbuurt  (1649,591)  (1648,627)  (1652,664)  (1676,555)  (1708,521)  | overflowToLeft=false
Haven Noord  (1810,182)  (1768,136)  (1736,100)  (1881,287)  (1699,64)  (1735,64)  (1842,215)  (1776,67)  | overflowToLeft=false
Amstel 6  (1758,1363)  | overflowToLeft=false
Amstel 5  (1807,1102)  | overflowToLeft=false
Amstel 4  (1890,1031)  | overflowToLeft=false
Polderbaan  (352,747)  (366,711)  (355,783)  (339,819)  (341,855)  (305,883)  (382,669)  (408,615)  (412,569)  | overflowToLeft=false
Weesp  (2725,1592)  (2689,1627)  (2689,1591)  (2760,1628)  (2725,1556)  (2761,1556)  (2761,1592)  (2687,1555)  (2724,1663)  (2688,1663)  (2796,1628)  (2796,1664)  (2760,1664)  (2723,1520)  (2797,1558)  (2665,1519)  (2832,1594)  (2825,1700)  (2789,1700)  (2701,1484)  (2737,1484)  (2868,1609)  (2849,1736)  (2813,1736)  (2777,1736)  (2668,1448)  (2795,1772)  | overflowToLeft=false
Rivierenbuurt  (1774,972)  (1738,990)  (1738,954)  (1809,1008)  (1810,945)  (1702,940)  (1845,981)  (1846,943)  | overflowToLeft=false
Oud Zuid  (1523,817)  (1487,842)  (1559,821)  (1595,802)  (1647,838)  (1626,833)  | overflowToLeft=false
Badhoevedorp  (854,855)  (818,890)  (889,891)  (847,819)  (883,819)  (890,855)  (853,926)  (925,891)  (925,927)  (926,854)  (777,753)  (961,923)  (961,959)  (813,747)  (752,717)  | overflowToLeft=false
Westhavens Zuid  (1409,308)  (1373,343)  (1373,307)  (1444,344)  (1409,272)  (1445,272)  (1445,308)  (1408,379)  (1372,379)  (1337,343)  (1480,344)  (1458,380)  (1460,236)  (1481,272)  (1481,308)  (1496,227)  (1301,364)  (1301,328)  (1516,344)  (1517,263)  (1517,299)  (1278,292)  (1265,356)  (1552,335)  (1553,282)  (1242,320)  (1588,330)  | overflowToLeft=false
Vechtplas  (2948,2020)  | overflowToLeft=false
Diemen zuid  (2177,1224)  (2141,1251)  (2212,1260)  (2149,1188)  (2185,1188)  (2221,1180)  (2176,1287)  (2178,1152)  | overflowToLeft=false
Schellingwoude  (2349,568)  (2313,557)  (2384,604)  (2385,567)  (2280,562)  | overflowToLeft=false
Museumkwartier  (1694,781)  (1722,817)  (1714,745)  (1730,781)  (1690,815)  | overflowToLeft=false
Abcoudermeer  (2124,1916)  | overflowToLeft=false
Middelpolder  (1612,1465)  (1576,1500)  (1576,1464)  (1647,1501)  (1612,1429)  (1648,1429)  (1648,1465)  (1611,1536)  (1575,1536)  (1539,1537)  (1589,1393)  (1625,1393)  (1661,1393)  (1684,1429)  (1684,1465)  (1697,1380)  (1577,1572)  (1541,1573)  (1603,1357)  (1639,1357)  (1720,1416)  (1720,1452)  (1505,1577)  (1675,1344)  (1711,1344)  (1561,1609)  (1614,1321)  (1525,1613)  (1489,1613)  (1747,1310)  (1650,1308)  (1686,1308)  (1519,1649)  (1483,1649)  (1621,1272)  (1657,1272)  (1447,1678)  (1497,1685)  (1461,1714)  (1425,1723)  (1431,1759)  (1395,1769)  (1430,1805)  (1394,1805)  (1435,1841)  | overflowToLeft=false
de Liede  (295,379)  (259,414)  (259,378)  (330,415)  (295,343)  (331,343)  (331,379)  (257,342)  (294,450)  (258,450)  (223,414)  (223,378)  (366,415)  (366,451)  (330,451)  (222,451)  (293,307)  (329,307)  (365,307)  (367,343)  (367,379)  (221,342)  (221,306)  (257,306)  (401,273)  (294,486)  (258,486)  (187,415)  (187,379)  (402,415)  (402,451)  (396,487)  (360,487)  (222,487)  (186,487)  (186,451)  (293,271)  (329,271)  (365,271)  (403,309)  (403,345)  (185,343)  (220,270)  (256,270)  (437,248)  (324,522)  (288,522)  (151,415)  (151,379)  (438,389)  (438,425)  | overflowToLeft=false
Kostverloren-Bankras  (1516,1374)  (1539,1410)  (1503,1410)  (1510,1338)  (1546,1338)  (1533,1446)  (1497,1446)  (1510,1302)  (1546,1302)  (1502,1482)  (1508,1266)  (1544,1266)  (1466,1497)  | overflowToLeft=false
de Hoge Dijk  (1995,1751)  (2031,1760)  (2073,1796)  (2075,1832)  (1914,1645)  (2111,1798)  (2111,1834)  (2075,1868)  (2113,1870)  (1878,1622)  (1914,1609)  (2147,1794)  (2147,1830)  (2149,1866)  (1842,1588)  (1878,1586)  (1914,1573)  (1838,1552)  (1874,1550)  (1910,1537)  (1972,1704)  | overflowToLeft=false
Zunderdorp  (2415,256)  (2379,291)  (2379,255)  (2450,292)  (2415,220)  (2451,220)  (2451,256)  (2377,219)  (2414,327)  (2378,327)  (2343,291)  (2343,255)  (2486,292)  (2486,328)  (2450,328)  (2342,328)  (2413,184)  (2449,184)  (2485,184)  (2487,220)  (2487,256)  (2341,219)  (2341,183)  (2377,183)  (2521,165)  (2414,363)  (2378,363)  (2307,292)  (2307,256)  (2522,292)  (2452,364)  (2523,201)  (2523,237)  (2305,220)  (2557,157)  (2394,399)  (2271,284)  (2558,273)  (2559,193)  (2559,229)  (2269,248)  (2595,189)  (2595,225)  (2233,260)  | overflowToLeft=false
Oosterdok  (1927,621)  | overflowToLeft=false
Ijburgbaai midden  (2515,1021)  | overflowToLeft=false
Gouwzee  (3264,30)  (3228,65)  (3228,29)  (3299,66)  (3300,0)  (3192,78)  (3192,42)  (3192,6)  (3335,36)  (3335,72)  (3299,102)  (3336,0)  (3341,108)  (3156,57)  (3156,21)  (3371,36)  (3371,72)  (3372,0)  (3377,108)  (3120,51)  (3407,36)  (3407,72)  (3408,0)  | overflowToLeft=false
Osdorp  (1024,661)  (988,696)  (988,660)  (1059,697)  (1024,625)  (1060,625)  (1060,661)  (986,624)  (1023,732)  (987,732)  (952,696)  (952,660)  (1095,697)  (1095,733)  (1059,733)  (951,733)  (1056,589)  (1092,589)  (1096,625)  (1096,661)  (1128,557)  (1005,768)  (916,697)  (916,661)  (1131,708)  (1131,744)  (969,769)  (933,769)  (915,733)  (1069,553)  (1132,593)  (1132,629)  (902,625)  (1105,521)  (1164,533)  (880,697)  (880,661)  (1167,709)  (1167,745)  (971,805)  (879,738)  (1168,569)  (866,625)  (844,699)  (844,663)  (1204,543)  (808,663)  | overflowToLeft=false
Middenhoven  (1283,1709)  (1247,1697)  (1318,1745)  (1282,1745)  (1319,1686)  (1234,1661)  (1211,1704)  (1354,1722)  (1347,1781)  (1355,1664)  (1198,1668)  (1384,1628)  (1391,1664)  (1405,1592)  (1425,1556)  (1461,1554)  | overflowToLeft=false
Boeslingheliede  (505,659)  (469,694)  (469,658)  (540,695)  (505,623)  (541,623)  (541,659)  (467,622)  (504,730)  (468,730)  (433,694)  (433,658)  (576,695)  (576,731)  (540,731)  (432,731)  (503,587)  (539,587)  (575,587)  (577,623)  (577,659)  (451,586)  (504,766)  (468,766)  (612,695)  (612,731)  (589,767)  (553,767)  (432,767)  (487,551)  (523,551)  (613,613)  (613,649)  (517,802)  (481,802)  (648,685)  (648,721)  (445,803)  (409,803)  (471,515)  (507,515)  (649,606)  (649,642)  (491,838)  (684,678)  (455,839)  (419,839)  (491,479)  (685,570)  (685,606)  (685,642)  | overflowToLeft=false
Afrikahaven  (868,24)  (832,59)  (832,23)  (903,60)  (904,0)  (867,95)  (796,44)  (796,8)  (939,36)  (939,72)  (903,96)  (940,0)  (951,108)  (760,29)  (975,36)  (975,72)  (976,0)  | overflowToLeft=false
het Schouw  (2444,53)  (2408,88)  (2408,52)  (2479,89)  (2444,17)  (2480,17)  (2480,53)  (2406,16)  (2372,101)  (2497,125)  | overflowToLeft=false
Haarlem centrum  (12,248)  (39,284)  (3,284)  (0,212)  (36,212)  (48,248)  (84,214)  (1,136)  (1,174)  | overflowToLeft=false
de Pijp  (1793,817)  (1782,781)  (1818,781)  (1829,817)  (1845,882)  (1770,840)  | overflowToLeft=false
Badhoever Wei  (693,911)  (657,946)  (657,910)  (728,947)  (693,875)  (729,875)  (729,911)  (655,874)  (621,939)  (764,972)  (728,983)  (691,839)  (619,903)  (619,867)  (655,838)  (612,831)  (789,1008)  (727,804)  (800,972)  (753,1019)  (691,803)  (648,802)  (576,839)  (788,794)  (825,1008)  (684,767)  (720,767)  (861,976)  (861,1012)  (897,984)  (897,1020)  (933,1004)  (969,1006)  (984,1042)  (1005,1002)  (1015,1078)  (1020,1038)  (1031,1114)  (1043,1150)  (1051,1074)  (1054,1186)  (1067,1110)  (1087,1053)  | overflowToLeft=false
Naarden  (3711,2064)  (3675,2099)  (3675,2063)  (3746,2100)  (3711,2028)  (3747,2028)  (3747,2064)  (3673,2027)  (3639,2124)  (3639,2088)  (3782,2100)  (3709,1992)  (3745,1992)  (3783,2031)  (3637,2052)  (3637,2016)  (3673,1991)  (3781,1990)  (3626,1980)  (3603,2106)  (3662,1955)  (3698,1955)  (3623,1944)  (3659,1919)  (3611,1908)  (3647,1883)  | overflowToLeft=false
de Poel  (1195,1465)  | overflowToLeft=false
ArenA Park  (2042,1447)  (2057,1483)  (2078,1422)  (2114,1432)  (2039,1409)  (2011,1417)  (2009,1456)  (2068,1515)  | overflowToLeft=false
Diemen  (2277,1087)  (2241,1118)  (2241,1082)  (2312,1123)  (2277,1051)  (2313,1051)  (2313,1087)  (2295,1015)  (2279,1127)  | overflowToLeft=false
Helmersbuurt  (1573,723)  (1537,732)  (1609,714)  (1645,704)  (1670,723)  | overflowToLeft=false
Gaasperplas  (2444,1598)  | overflowToLeft=false
Tuindorp Oostzaan  (1845,144)  (1811,108)  (1881,145)  (1868,182)  (1910,175)  (1926,148)  | overflowToLeft=false
Abcoude  (2146,2005)  (2110,2019)  (2181,2041)  (2165,1969)  (2182,2005)  (2145,2055)  (2201,1950)  (2218,1986)  (2228,2063)  (2143,2091)  | overflowToLeft=false
Centraal Station  (1870,564)  (1908,581)  (1948,597)  (1992,603)  (1841,529)  (2033,621)  | overflowToLeft=false
Papaverweg e.o.  (1953,339)  (1986,375)  (1992,339)  (1954,302)  (1925,331)  | overflowToLeft=false
Almere  (3749,1358)  (3713,1393)  (3713,1357)  (3784,1394)  (3749,1322)  (3785,1322)  (3785,1358)  (3711,1321)  (3748,1429)  (3712,1429)  (3677,1393)  (3677,1357)  (3804,1430)  (3676,1430)  (3747,1286)  (3783,1286)  (3675,1321)  (3675,1285)  (3711,1285)  (3768,1465)  (3732,1465)  (3641,1394)  (3641,1358)  (3804,1466)  (3696,1466)  (3747,1250)  (3783,1250)  (3639,1322)  (3639,1286)  (3639,1250)  (3675,1249)  (3711,1249)  (3768,1501)  (3732,1501)  (3605,1373)  (3804,1502)  (3696,1502)  (3621,1214)  (3747,1214)  (3783,1214)  (3657,1213)  (3693,1213)  (3729,1178)  (3765,1178)  (3801,1178)  | overflowToLeft=false
Overhoeks  (1915,454)  (1923,490)  (1914,418)  (1913,384)  | overflowToLeft=false
Dapper-Indische buurt  (2131,812)  (2095,847)  (2095,811)  (2166,848)  (2167,788)  (2093,775)  (2059,856)  (2059,820)  (2202,824)  (2202,860)  (2057,784)  (2238,801)  (2238,837)  (2238,873)  | overflowToLeft=false
Oudekerkerplas  (1878,1702)  (1914,1698)  | overflowToLeft=false
Schiphol Terminal  (603,1223)  (567,1258)  (567,1222)  (638,1259)  (603,1187)  (639,1187)  (639,1223)  (565,1186)  (602,1294)  (566,1294)  (531,1258)  (674,1259)  (530,1295)  (601,1151)  (675,1159)  (675,1195)  (529,1178)  (565,1150)  (521,1142)  (710,1231)  (505,1331)  (711,1163)  (469,1346)  | overflowToLeft=false
Havenwater 2  (1343,139)  | overflowToLeft=false
Havenwater 1  (1037,39)  (1029,75)  (1040,3)  (1027,111)  | overflowToLeft=false
Meerwijkplas  (28,574)  | overflowToLeft=false
Zuid  (1529,898)  (1493,925)  (1565,868)  (1565,904)  (1457,923)  (1601,869)  (1601,905)  (1637,886)  | overflowToLeft=false
Aalsmeer west  (122,1721)  (86,1756)  (86,1720)  (157,1757)  (122,1685)  (158,1685)  (158,1721)  (84,1684)  (121,1792)  (85,1792)  (50,1756)  (50,1720)  (193,1757)  (177,1793)  (49,1793)  (120,1649)  (156,1649)  (192,1649)  (194,1685)  (194,1721)  (48,1684)  (48,1648)  (84,1648)  (216,1793)  (228,1615)  (141,1828)  (14,1757)  (14,1721)  (229,1757)  (36,1829)  (13,1793)  (120,1613)  (156,1613)  (192,1613)  (230,1651)  (230,1687)  (12,1685)  (0,1842)  (181,1857)  (228,1579)  (264,1579)  (264,1615)  (145,1864)  (265,1723)  (265,1759)  (137,1577)  (173,1577)  (266,1651)  (266,1687)  (209,1543)  (245,1543)  (300,1607)  | overflowToLeft=false
Plantage  (1935,713)  (1969,696)  (2003,721)  (1971,729)  (2004,754)  | overflowToLeft=false
Vondelpark  (1550,761)  (1521,774)  (1587,765)  (1619,758)  (1657,752)  | overflowToLeft=false
de Nieuwe Meer  (1155,1012)  (1119,1013)  (1191,1004)  | overflowToLeft=false
Weesperbuurt  (1875,730)  (1911,730)  (1880,766)  (1919,764)  (1961,768)  | overflowToLeft=false
Baan 04  (860,1236)  (824,1233)  (875,1272)  (896,1215)  (932,1211)  (968,1179)  (782,1357)  (1004,1175)  | overflowToLeft=false
Oranjewijk  (691,1765)  (655,1800)  (655,1764)  (726,1801)  (691,1729)  (727,1729)  (727,1765)  (653,1728)  (690,1836)  (654,1836)  (619,1765)  (762,1801)  (755,1837)  (704,1693)  (740,1693)  (763,1729)  (763,1765)  (617,1729)  (618,1842)  (776,1680)  (714,1872)  (678,1872)  (582,1873)  (799,1716)  (642,1878)  (812,1656)  (606,1909)  (835,1692)  (848,1643)  (871,1679)  | overflowToLeft=false
